CustomerID,Name,Age,City,PurchaseAmount,Rating
215,Customer_215,58,Delhi,4988.69,1
131,Customer_131,41,Unknown,4986.55,2
175,Customer_175,24,Bangalore,4955.55,2
76,Customer_76,43,Delhi,4932.66,4
19,Customer_19,19,Delhi,4904.27,2
298,Customer_298,29,Unknown,4880.15,2
136,Customer_136,39,Delhi,4877.83,2
52,Customer_52,67,Bangalore,4868.24,1
145,Customer_145,18,Bangalore,4843.17,2
8,Customer_8,56,Bangalore,4843.07,3
240,Customer_240,43,Hyderabad,4799.47,3
118,Customer_118,22,Hyderabad,4675.09,2
174,Customer_174,49,Unknown,4671.4,3
154,Customer_154,43,Unknown,4666.87,5
178,Customer_178,45,Chennai,4639.6,2
78,Customer_78,51,Hyderabad,4627.8,4
253,Customer_253,39,Bangalore,4601.88,5
284,Customer_284,40,Bangalore,4600.43,3
134,Customer_134,61,Unknown,4595.24,2
246,Customer_246,34,Unknown,4568.08,2
27,Customer_27,29,Mumbai,4561.31,1
189,Customer_189,28,Unknown,4548.54,1
17,Customer_17,20,Bangalore,4525.44,2
195,Customer_195,44,Bangalore,4508.37,4
113,Customer_113,34,Hyderabad,4508.27,1
132,Customer_132,43,Bangalore,4493.39,5
62,Customer_62,64,Delhi,4481.66,3
211,Customer_211,32,Hyderabad,4405.28,1
50,Customer_50,42,Hyderabad,4384.16,5
73,Customer_73,21,Bangalore,4354.68,3
