CustomerID,Name,Age,Gender,City,PurchaseAmount,SignupDate,Rating
1,Customer_1,56,Male,Unknown,1416.5,2023-01-01,2
2,Customer_2,69,Male,Delhi,208.71,2023-01-02,4
3,Customer_3,46,Male,Mumbai,2541.01,2023-01-03,5
4,Customer_4,32,Male,Bangalore,2433.43,2023-01-04,2
5,Customer_5,60,Male,Hyderabad,4173.72,2023-01-05,1
6,Customer_6,25,Male,Unknown,1608.11,2023-01-06,5
7,Customer_7,38,Female,Hyderabad,4100.29,2023-01-07,2
8,Customer_8,56,Female,Bangalore,4843.07,2023-01-08,3
9,Customer_9,36,Male,Mumbai,533.2,2023-01-09,3
10,Customer_10,40,Female,Bangalore,3979.91,2023-01-10,3
11,Customer_11,28,Male,Chennai,2712.39,2023-01-11,2
12,Customer_12,28,Male,Bangalore,2452.23,2023-01-12,2
13,Customer_13,41,Female,Bangalore,2160.63,2023-01-13,5
14,Customer_14,53,Female,Chennai,3944.87,2023-01-14,1
15,Customer_15,57,Female,Mumbai,2712.39,2023-01-15,5
16,Customer_16,41,Female,Unknown,4044.72,2023-01-16,5
17,Customer_17,20,Male,Bangalore,4525.44,2023-01-17,2
18,Customer_18,39,Female,Chennai,3124.59,2023-01-18,3
19,Customer_19,19,Male,Delhi,4904.27,2023-01-19,2
20,Customer_20,41,Male,Mumbai,3079.63,2023-01-20,1
21,Customer_21,61,Male,Mumbai,3219.56,2023-01-21,2
22,Customer_22,47,Male,Bangalore,2818.6,2023-01-22,3
23,Customer_23,55,Female,Mumbai,545.91,2023-01-23,2
24,Customer_24,19,Female,Unknown,3659.35,2023-01-24,2
25,Customer_25,38,Female,Delhi,2782.49,2023-01-25,2
26,Customer_26,50,Female,Bangalore,2309.46,2023-01-26,4
27,Customer_27,29,Female,Mumbai,4561.31,2023-01-27,1
28,Customer_28,39,Male,Mumbai,1560.0,2023-01-28,2
29,Customer_29,61,Male,Bangalore,2665.65,2023-01-29,2
30,Customer_30,42,Male,Hyderabad,3518.45,2023-01-30,2
31,Customer_31,66,Female,Mumbai,4002.71,2023-01-31,3
32,Customer_32,44,Male,Chennai,2350.8,2023-02-01,4
33,Customer_33,59,Female,Hyderabad,4226.25,2023-02-02,1
34,Customer_34,45,Male,Unknown,3867.7,2023-02-03,2
35,Customer_35,33,Female,Mumbai,424.56,2023-02-04,3
36,Customer_36,32,Male,Mumbai,324.72,2023-02-05,2
37,Customer_37,64,Female,Bangalore,3141.95,2023-02-06,2
38,Customer_38,68,Male,Hyderabad,1802.33,2023-02-07,3
39,Customer_39,61,Male,Unknown,1124.74,2023-02-08,2
40,Customer_40,69,Male,Delhi,2940.28,2023-02-09,2
41,Customer_41,43,Female,Unknown,1773.66,2023-02-10,2
42,Customer_42,54,Male,Mumbai,2732.59,2023-02-11,1
43,Customer_43,68,Male,Mumbai,2354.58,2023-02-12,4
44,Customer_44,24,Female,Bangalore,2965.35,2023-02-13,2
45,Customer_45,38,Female,Mumbai,2061.47,2023-02-14,5
46,Customer_46,26,Female,Mumbai,3518.57,2023-02-15,1
47,Customer_47,56,Female,Delhi,982.33,2023-02-16,1
48,Customer_48,35,Female,Mumbai,2712.39,2023-02-17,2
49,Customer_49,21,Female,Delhi,2117.14,2023-02-18,3
50,Customer_50,42,Male,Hyderabad,4384.16,2023-02-19,5
51,Customer_51,31,Male,Unknown,2624.66,2023-02-20,2
52,Customer_52,67,Female,Bangalore,4868.24,2023-02-21,1
53,Customer_53,26,Male,Hyderabad,3049.48,2023-02-22,2
54,Customer_54,43,Male,Delhi,1196.86,2023-02-23,3
55,Customer_55,19,Female,Delhi,4126.77,2023-02-24,3
56,Customer_56,37,Male,Bangalore,1790.9,2023-02-25,1
57,Customer_57,45,Female,Bangalore,1803.33,2023-02-26,2
58,Customer_58,64,Male,Hyderabad,2712.39,2023-02-27,2
59,Customer_59,24,Female,Chennai,2788.71,2023-02-28,3
60,Customer_60,61,Male,Hyderabad,2718.68,2023-03-01,2
61,Customer_61,25,Male,Bangalore,1844.36,2023-03-02,2
62,Customer_62,64,Female,Delhi,4481.66,2023-03-03,3
63,Customer_63,52,Male,Mumbai,730.87,2023-03-04,4
64,Customer_64,31,Male,Hyderabad,1717.49,2023-03-05,4
65,Customer_65,34,Female,Delhi,1675.76,2023-03-06,5
66,Customer_66,53,Male,Mumbai,552.22,2023-03-07,2
67,Customer_67,67,Male,Mumbai,2457.61,2023-03-08,5
68,Customer_68,57,Male,Bangalore,3470.15,2023-03-09,2
69,Customer_69,21,Female,Hyderabad,2607.12,2023-03-10,2
70,Customer_70,19,Female,Mumbai,869.19,2023-03-11,2
71,Customer_71,43,Female,Bangalore,1948.7,2023-03-12,1
72,Customer_72,59,Male,Bangalore,112.72,2023-03-13,5
73,Customer_73,21,Female,Bangalore,4354.68,2023-03-14,3
74,Customer_74,46,Male,Mumbai,514.13,2023-03-15,5
75,Customer_75,35,Female,Bangalore,2712.39,2023-03-16,3
76,Customer_76,43,Male,Delhi,4932.66,2023-03-17,4
77,Customer_77,61,Female,Chennai,2729.29,2023-03-18,5
78,Customer_78,51,Male,Hyderabad,4627.8,2023-03-19,4
79,Customer_79,27,Male,Chennai,1256.97,2023-03-20,2
80,Customer_80,53,Male,Delhi,3823.78,2023-03-21,2
81,Customer_81,31,Male,Unknown,2703.2,2023-03-22,1
82,Customer_82,48,Female,Bangalore,3630.53,2023-03-23,5
83,Customer_83,43,Male,Bangalore,2712.39,2023-03-24,4
84,Customer_84,43,Male,Bangalore,823.92,2023-03-25,3
85,Customer_85,25,Female,Mumbai,752.27,2023-03-26,2
86,Customer_86,31,Male,Bangalore,3467.11,2023-03-27,2
87,Customer_87,40,Female,Bangalore,4237.76,2023-03-28,3
88,Customer_88,57,Male,Delhi,3773.12,2023-03-29,4
89,Customer_89,38,Male,Delhi,249.31,2023-03-30,4
90,Customer_90,33,Male,Delhi,4349.35,2023-03-31,5
91,Customer_91,62,Male,Chennai,1835.32,2023-04-01,5
92,Customer_92,35,Female,Mumbai,2046.1,2023-04-02,2
93,Customer_93,64,Male,Unknown,613.86,2023-04-03,2
94,Customer_94,41,Female,Unknown,3713.29,2023-04-04,1
